relative_path,sha256,bytes,frames
MeshMamba_non_texture_Spark_Plug_v1_L3/fixations.json,5e2bc71ba5604891dec24138cffcbb8f4a37fb66fa885867d10b3156a94c2dc4,732352,510
MeshMamba_non_texture_Spinning_Top_v1_L3/fixations.json,025d49cedc4c302602a3190197aaef9866a6487a37873cac70b0bdb2f042dd41,730229,510
MeshMamba_non_texture_Squirrel_wooden_v2_L3/fixations.json,54850c29b4b3ed6a04006c741573fefc1d9f2f56eab5ecddde994244fbb6590a,759581,510
MeshMamba_non_texture_StandingBaby_v2_L1/fixations.json,51ea323ba7ca93164a169e4121da3d6bf3d90248e7474b6074e83a2dc4a2887e,723722,510
MeshMamba_non_texture_Starfruit_L3/fixations.json,c834f2f7c40e907ecdbf8b07cccb3d0dea35e2f5d1a70bebf8af723c92d81bc0,744665,510
MeshMamba_non_texture_Statue_v1_L2_David/fixations.json,6f0edbea474aba06f6edbc062c8b8a6d2abd8202e77b89ff692eb9d374cc7edf,742446,510
MeshMamba_non_texture_Statue_v1_L2_Venus/fixations.json,f4c846906ffd063352771f2d43919b2d3cdc533b19998cd6007c715bfd234244,720706,510
MeshMamba_non_texture_Statue_v1_L3_eagle/fixations.json,46a5a9bee8137878bf6f0ef8fa7c73e7f69c39d7d4c511f02e928ead42655fd1,733842,510
MeshMamba_non_texture_Statue_willendorf_V1_L3/fixations.json,23c47451ec2e90864955241b5a18ca91c0771c7baea76e933f3e527e4f5f03fc,764396,510
MeshMamba_non_texture_Stone_Chess_Bishop_Side_A_v2_L1/fixations.json,6922963e939f614d3626e6ad83039658621d2dce44e475ef032103cdcb134ef3,724476,510
MeshMamba_non_texture_Stone_Chess_Knight_Side_A_v2_L1/fixations.json,8eb5a91cabde02e3323a927791a1830b4682503654a3ed6c9e9584ea505ebe71,750916,510
MeshMamba_non_texture_TomatoBeefSteak_V1_L3/fixations.json,a5aae4cf2c6b94faf8f8cc5650bd13fca7efe8d902d77b6423d07e4c7e445517,731009,510
MeshMamba_non_texture_Tricorn_Hat_v1_L2/fixations.json,c0c3e8303bd035d2cc852c15a615ad1f26f5340f09218d93ab222b48342a4489,732580,510
MeshMamba_non_texture_UFO_v1_L2/fixations.json,e11a21034d9f9fb23201b2157cb61398596755cc58042d16652d434300ddde89,731902,510
MeshMamba_non_texture_Volto_Mask_v1_L2/fixations.json,21d3e62a213afaecccae315398876f8b55491bb2313064c576834b64917f3b62,747687,510
MeshMamba_non_texture_WWII_Plane-Germany_Focke-Wulf_Fw_190_v1/fixations.json,17d821b87023eb2a54b38804b42ba84ed5e47b16107c1198719a8635c6f8059a,734010,510
MeshMamba_non_texture_Watermelon_V1_L3/fixations.json,e684cf8f7f25b8c883c64c5a966915268540b877dcd1a39665a5de63a4f24724,738329,510
MeshMamba_non_texture_Whale_v4_L3/fixations.json,515fb83c7274aed1765f7736c469bf9fc9c3ffe5432ae2daf4ca3813f3eac9dc,750568,510
MeshMamba_non_texture_White-TailedDeer_V1_L2/fixations.json,32a7e33bb139c96f32c1ef64a4a9a1237c758f3467f8797fb9800dd77fd13c68,735783,510
MeshMamba_non_texture_Wicker_Basket_v1_L3/fixations.json,d0951a37db7dc1ac2a92f3daefd2587c766b8c898e4b41db8230122fac58bd76,729890,510
MeshMamba_non_texture_ball_car_v1_L3/fixations.json,1abc57d9ffbbfcc1dcae1720c4084efcbee7f45ec6409949a3d1539078c644c1,756590,510
MeshMamba_non_texture_barbiegirl_V1_L3/fixations.json,88cf349571e71e21ab3fdd282e091a8b393175f7687f20842e1b5640d9278c30,740254,510
MeshMamba_non_texture_cathedral_wood_radio_v2_L1/fixations.json,435a24d5890f44710c84ce70a51085ce657553bbf790a9eb7a5ed894ec4dd6d8,730579,510
MeshMamba_non_texture_doll_v3_L3/fixations.json,fa4606ec027dfd2572409e44d3bc0d961e68b2a86e3cd5cb2a6b9bba13ff08fa,725696,510
MeshMamba_non_texture_dolphin_v1_L3/fixations.json,d1504a9f2af62263786ac9dfa5f8d58532621c30a09eed6bca257203a38aaa82,737562,510
MeshMamba_non_texture_egypt_sphinx_V2_L3/fixations.json,59f41cdc81ed02230a735b237fd93761ec7ed0b30f631086a14c0fc3a9e1a8b3,736979,510
MeshMamba_non_texture_football_v2_L3/fixations.json,062fe4f6eb0c66a7981fc3a3fbb83268d60736ca2325cfa20b2a75684abd20ea,731942,510
MeshMamba_non_texture_modern_tabletop_radio_v1_L1/fixations.json,38c6c772f552dd5318eba3887b65df8f0620bc619a22875a9a652c31b67a5c2a,733038,510
MeshMamba_non_texture_robot_v1_L3/fixations.json,f0c643db58c3544b48d99b91a4c63e54531ea9ebb281d5e53081d990fdaabb7c,762997,510
MeshMamba_non_texture_statue_Terracotta_squat_v2_L1/fixations.json,00bbe02fc1fb0a6ae4be0e6f82fe20efd4a81a070fcb2286950ed886f5000f94,722791,510
MeshMamba_non_texture_statue_Terracotta_v2_l1/fixations.json,1161dc940dc9d59c307cf8c2fe8381af1a07c16de124054e21fa18a75a56b159,719488,510
